,value
drug,floxuridine
n_cell_lines,714
n_genes,19206
auc_mean,0.5728309716960964
auc_std,0.16553174233241333
auc_variance,0.02740075771960448
auc_min,0.2201005216654791
auc_25%,0.4632309253339226
auc_median,0.5633747545725243
auc_75%,0.6731205021031264
auc_max,1.77140923583767
