model,MAE,RMSE,R2,CV_RMSE,Train_R2,best_params,RMSE_over_test_SD,Improvement_vs_mean_%
Mean baseline,0.12088940611813852,0.14923304372717122,-0.004320380647365729,,,{},0.9975074525353652,0.0
Elastic Net,0.11389818972579116,0.1448993830853404,0.05316270705416093,0.16452495041053924,0.47211563813460933,"{'elastic_net__alpha': 1, 'elastic_net__l1_ratio': 0.01}",0.9685402836093696,2.903955138617727
SVR,0.10843868745432073,0.1382627841177723,0.1379094634385155,0.15925622562935113,0.9785902359013113,"{'svr__C': 1, 'svr__epsilon': 0.01, 'svr__gamma': 'scale'}",0.9241797534995602,7.351092851429625
