,value
drug,cinacalcet
n_cell_lines,717
n_genes,19206
auc_mean,0.9266125393606542
auc_std,0.0629829807199098
auc_variance,0.0039668558603645305
auc_min,0.6764644882676207
auc_25%,0.8959661997130192
auc_median,0.9299273947016062
auc_75%,0.9620926788727144
auc_max,1.49248539352332
