model,MAE,RMSE,R2,CV_RMSE,Train_R2,best_params,RMSE_over_test_SD,Improvement_vs_mean_%
Mean baseline,0.1430533957805901,0.17398200248864704,-0.0006578695216605812,,,{},0.9956869582745079,0.0
Elastic Net,0.13198874461784665,0.1623337010959236,0.1288471824086831,0.1391427561706824,0.44180036748468365,"{'elastic_net__alpha': 1, 'elastic_net__l1_ratio': 0.01}",0.9290245356279913,6.695118590489571
SVR,0.13116931879359853,0.16565470650915387,0.09283868139297446,0.13740793516009558,0.9955514203262587,"{'svr__C': 1, 'svr__epsilon': 0.01, 'svr__gamma': 'scale'}",0.9480304197482651,4.7862973528176
