,value
drug,teniposide
n_cell_lines,714
n_genes,19206
auc_mean,0.5743418171432902
auc_std,0.15211407511656394
auc_variance,0.023138691848567653
auc_min,0.209121615125369
auc_25%,0.46210136697147647
auc_median,0.5647691164917984
auc_75%,0.673887550173723
auc_max,1.0
