,value
drug,osimertinib
n_cell_lines,715
n_genes,19206
auc_mean,0.864717318364848
auc_std,0.09613231863289792
auc_variance,0.009241422685737013
auc_min,0.4119082707807779
auc_25%,0.8182144448376707
auc_median,0.874097816557132
auc_75%,0.913847188517181
auc_max,1.60939616911234
