model,MAE,RMSE,R2,CV_RMSE,Train_R2,best_params,RMSE_over_test_SD,Improvement_vs_mean_%
Mean baseline,0.059271265061443854,0.0772590739869114,-0.009601489157728293,,,{},1.0001266555897221,0.0
Elastic Net,0.057247423964093075,0.07349360741142895,0.08641256942387265,0.09173861856477286,0.27357795722247835,"{'elastic_net__alpha': 1, 'elastic_net__l1_ratio': 0.01}",0.9513823036510729,4.873817897584901
SVR,0.05466774344395984,0.07100337440642804,0.14727506363906873,0.09062844633519004,0.6369319540127865,"{'svr__C': 0.1, 'svr__epsilon': 0.01, 'svr__gamma': 'scale'}",0.9191459813861615,8.097041884741136
