,value
drug,AZD2014
n_cell_lines,720
n_genes,19206
auc_mean,0.6710099366330736
auc_std,0.09196317382170163
auc_variance,0.008457225339360507
auc_min,0.4199835388489014
auc_25%,0.6030863038750597
auc_median,0.6640627260841381
auc_75%,0.7320448193460078
auc_max,0.935458469196018
