model,MAE,RMSE,R2,CV_RMSE,Train_R2,best_params,RMSE_over_test_SD,Improvement_vs_mean_%
Mean baseline,0.07698798154943835,0.09494598047965977,-0.005163490948363991,,,{},0.9979260601806785,0.0
Elastic Net,0.07544936424830583,0.0933015059886758,0.02935405135771585,0.0880932744713894,0.18120067819906904,"{'elastic_net__alpha': 0.1, 'elastic_net__l1_ratio': 0.1}",0.9806418745672936,1.7320106471871801
SVR,0.07566710688126325,0.0938977045739129,0.01690952153876024,0.08803157799794338,0.6452256622219521,"{'svr__C': 0.1, 'svr__epsilon': 0.05, 'svr__gamma': 'scale'}",0.9869081967669828,1.1040761288166794
